Numer macierzy;a_11;a_12;a_13;a_14; a_21;a_22;a_23;a_24;a_31;a_32;a_33;a_34;a_41;a_42;a_43;a_44;
063;-3;-6;-7;9;-7;2;1;0;-9;5;0;-8;-6;7;7;-5;
064;7;8;-4;8;3;0;4;-7;-6;5;1;-6;-3;-7;4;1;
065;-8;8;-3;-4;7;0;0;5;2;-6;-7;0;-3;3;-2;-2;
066;2;-6;6;2;8;-7;1;4;6;-9;-8;1;-2;7;-7;-3;
067;5;7;8;3;0;0;-9;0;7;5;-5;-2;-8;0;-1;-1;
068;3;5;5;-8;3;4;-2;4;5;8;8;3;-8;0;4;0;
069;4;-8;9;8;-3;-5;8;-2;0;4;-5;6;-2;-2;-6;7;
070;6;-5;3;-5;2;2;3;-2;2;1;0;-9;-7;-7;3;5;
071;-8;9;6;-6;-6;-2;0;0;-5;0;-9;-5;7;-3;1;-9;
072;0;-2;-8;-5;-9;2;-1;-4;-1;2;-3;1;0;-7;4;-3;
073;4;0;3;-6;1;-2;-8;-8;-3;-2;-4;-7;0;1;5;-8;
074;-9;1;-8;-2;-5;1;-8;-9;-5;-5;0;0;7;5;-3;9;
075;9;4;-4;9;3;5;-9;-1;-4;9;9;-1;8;6;7;-7;
076;-6;1;-5;5;0;-7;-6;-9;-4;-6;5;3;-4;7;4;-3;
077;-4;-6;-8;-7;9;6;-4;6;-2;-7;-4;-8;-2;0;0;1;
078;8;5;4;-3;8;0;-2;-7;-7;-6;5;-8;6;-2;8;-9;
079;3;-5;-6;8;0;2;-3;-4;5;0;-2;2;-4;-8;9;8;
080;5;-5;-1;-9;-5;4;4;-9;6;-7;-1;-4;2;0;-4;9;
081;2;9;-9;9;-8;-3;-2;6;0;-7;0;-1;1;-8;2;1;
082;0;0;-4;6;0;4;-1;5;-8;-2;4;5;-6;7;8;-2;
083;-8;-3;3;-3;7;-9;-6;9;0;8;-7;-3;0;9;8;1;
084;6;-6;6;4;3;8;-8;-7;0;1;-9;-6;1;-6;-5;6;
085;-3;1;6;1;-6;6;-7;-9;-9;8;3;0;-2;5;1;4;
086;-1;8;-1;0;-9;-7;0;-6;1;1;-4;5;3;9;5;4;
087;0;1;-9;1;3;0;5;8;-2;-3;-1;6;0;-9;5;0;
088;4;7;5;9;4;-3;6;1;-6;-6;-8;-3;-3;-5;8;9;
089;5;-4;4;1;-2;1;-5;-6;9;-9;9;-9;-9;-1;8;-8;
090;8;1;8;3;5;4;-5;1;8;0;3;2;-2;9;-8;0;
091;-7;-1;7;-3;7;0;-4;-1;-1;0;-3;-7;-8;8;9;-2;
092;-7;9;0;2;-5;-6;1;-5;-6;0;5;-9;3;-6;-1;-6;
093;-5;0;6;8;5;-2;-1;9;-2;-7;-6;-1;7;5;-2;-7;
094;8;-2;7;4;7;0;0;-9;-9;6;0;0;5;-6;7;8;
095;3;-6;0;-5;-7;-4;9;0;-9;7;0;-7;-8;-5;1;-2;
096;0;5;4;2;-7;9;-9;-8;2;0;-7;-6;5;9;7;-1;
097;8;1;3;-1;5;5;1;-8;0;-8;-3;0;8;7;5;8;
098;7;-3;2;-1;-4;-9;1;2;-8;6;-1;1;-7;0;4;-3;
099;8;-8;0;-7;-4;6;-5;6;8;-1;1;0;-5;-1;-2;7;
100;-2;6;0;-8;9;-8;-7;-2;-5;-2;4;0;-3;4;-5;2;
101;2;-1;-9;-7;1;-3;9;-4;-5;0;6;-9;-8;-8;-6;6;
102;-2;-6;5;-2;-6;-7;3;-2;5;-7;-5;0;2;0;-8;0;
103;-5;8;0;7;6;2;7;0;-9;0;2;0;2;4;-2;3;
104;7;-6;1;-7;0;8;-8;-8;-8;4;-3;2;2;0;-5;3;
105;3;1;7;-5;-2;-2;2;-8;9;0;5;-2;-1;6;6;8;
106;0;4;9;-7;0;8;3;-9;1;-8;0;9;4;7;0;7;
107;4;0;-4;-3;-2;-5;2;-3;-5;-1;-3;1;3;-5;0;5;
108;-4;7;0;-9;-9;3;0;-7;-2;-4;-1;-7;-4;-8;9;1;
109;8;3;0;-5;6;6;5;1;2;6;-6;-1;0;-3;-6;0;
110;6;8;8;-4;8;6;-5;5;-9;-4;-3;-3;-8;1;0;8;
111;9;6;-4;-5;2;2;-4;5;7;1;0;-6;-4;4;9;1;
112;-8;1;0;2;-4;9;6;9;-7;-9;7;8;-6;7;6;-2;
113;-3;0;0;3;-4;-1;-3;5;-7;4;9;2;0;-6;6;-8;
114;9;1;-4;-1;7;8;4;-9;1;-4;3;-5;-8;1;9;1;
115;8;-7;3;-1;5;6;-8;8;5;7;-2;9;7;-9;-7;4;
116;6;-9;-3;-5;6;0;-2;-7;7;-6;8;-9;0;7;-7;2;
117;-6;3;-1;0;4;-1;-1;0;5;3;0;7;5;6;-5;-7;
118;4;-6;0;6;-6;-6;6;-4;-7;4;-8;-8;-8;-6;-7;0;
119;-8;6;4;-8;-9;-2;1;-3;-3;7;-6;-2;7;2;-6;-3;
120;5;5;-2;6;-3;0;-5;0;3;2;3;-3;1;8;-2;8;
121;2;6;-5;3;5;0;-5;-8;-8;9;-7;0;9;-4;6;-4;
122;9;4;9;9;6;-7;7;-1;0;-2;-5;6;1;-7;5;-2;
123;5;6;0;-6;-5;6;8;1;-2;-8;1;0;-9;-2;5;-3;
124;1;-1;1;-3;-5;-6;-8;9;-6;-4;8;-3;-2;-9;-2;4;
125;-8;-1;6;1;7;-4;0;9;8;-9;-9;-4;-7;-8;7;-5;
126;9;8;3;-8;-5;5;2;-9;-1;-6;-1;3;-2;-3;-2;-4;
127;5;-8;-3;4;1;-1;3;-2;-3;-7;-5;-6;6;8;-6;9;
128;1;9;-2;-5;-1;0;8;-7;8;0;3;-4;9;1;6;-7;
129;-2;9;6;-2;-8;7;-2;4;5;1;-4;3;1;-9;0;-6;
130;-1;0;-6;0;-2;-5;6;2;-2;-2;-6;1;6;-5;9;-1;
131;6;-5;8;9;-5;3;-3;-9;8;-2;5;-4;2;0;-8;8;
132;3;1;-8;1;-9;9;0;4;-1;-7;-5;-9;-6;2;-7;4;
133;9;-3;-7;-6;9;4;-5;-4;-3;-3;-9;0;-8;-5;4;2;
134;-3;2;-1;6;6;1;-5;8;5;-7;7;-5;-6;1;7;8;
135;-4;0;-5;0;-9;-7;2;1;-8;0;-9;6;2;-9;-2;6;
136;1;-9;-2;-9;-9;-6;9;0;6;-3;-2;0;5;-3;-3;-9;
137;-6;6;-4;0;7;0;7;-1;-2;-1;-1;9;0;8;-1;0;
138;0;-7;0;-3;-7;-9;-3;0;0;9;-2;-8;6;2;-6;3;
139;7;-2;1;4;-6;-3;3;4;-2;7;0;1;0;1;3;1;
140;2;6;7;1;-6;-9;-5;-9;-3;2;0;6;0;7;3;-2;
141;-1;-5;-1;5;0;6;3;-5;-8;9;9;-8;-4;7;9;4;
142;-1;0;2;0;8;-1;-4;-3;7;-3;4;1;-7;6;1;1;
143;8;-3;-2;4;-7;2;1;3;-1;9;7;3;-1;6;-2;4;
144;-3;-8;-8;0;9;2;6;-4;2;-6;-3;-6;3;-6;8;-7;
145;-4;2;-8;6;0;0;-1;6;-1;-3;-1;-9;6;-3;9;0;
146;1;-4;-5;4;-6;-4;3;-9;-3;3;2;-3;9;-9;7;5;
147;6;5;-5;1;-5;-9;0;0;0;-1;1;-4;8;5;0;2;
148;-1;-6;6;7;2;-4;7;7;8;-1;6;-3;-2;-9;-6;2;
149;-7;3;0;0;-8;0;8;-8;-3;2;-8;-7;-8;4;-9;-4;
150;9;-2;-4;8;0;-1;-5;-9;9;5;-1;4;-7;2;3;-8;
151;1;-3;6;-6;0;-9;8;-9;5;2;5;0;9;-1;-1;-2;
152;-6;-5;-7;5;-7;-5;6;-1;8;-7;-9;-3;-6;8;1;-5;
153;2;2;4;7;-4;4;-5;3;-7;-6;-9;8;-7;-3;3;-5;
154;-5;9;4;-2;2;-9;0;9;-1;-8;-1;2;-8;8;-3;9;
155;-1;-3;0;2;-6;3;-4;4;0;-3;-8;-8;-1;-8;-6;5;
156;9;-1;8;-4;-6;-1;-1;-2;-5;4;4;-3;0;-6;6;-7;
157;-8;6;4;-1;2;8;8;7;9;5;-5;9;-1;-4;4;4;
158;-7;1;2;-9;-5;7;-5;-2;-2;2;4;3;9;0;0;-9;
159;7;9;5;0;-4;-6;7;0;0;-5;-3;-4;0;7;1;-8;
160;9;-9;3;-7;3;0;0;-3;5;-3;-1;9;4;-7;-5;-7;
161;-5;0;7;-3;-3;-2;7;-3;3;0;8;-7;-6;0;6;-8;
162;7;2;2;1;0;-3;-9;2;9;9;9;3;7;0;7;-5;
163;-9;9;-6;-1;6;-8;-5;0;9;-8;0;-6;-6;-1;-8;-3;
164;6;5;0;-5;-9;-1;-3;8;2;5;-2;9;4;3;-1;-2;
165;-2;9;0;-4;-1;4;0;-6;-4;0;-9;-9;0;-2;-2;-7;
166;4;8;-2;-8;1;-3;0;3;-5;8;-8;-1;0;-2;8;-8;
167;7;-6;9;7;-6;-5;-6;-9;3;2;0;0;-3;-4;2;-6;
168;9;-4;-5;0;-6;1;8;2;0;9;-7;8;6;-7;8;4;
169;0;-8;-7;6;-6;0;6;0;7;8;8;-1;1;4;6;0;
170;-6;5;-7;3;0;-7;-8;0;5;0;-3;-1;5;9;-6;-5;
171;9;6;0;-9;5;7;9;-1;7;-7;-4;2;-1;-9;5;-9;
172;-9;1;-2;-3;-6;8;-3;8;-6;6;9;4;9;-2;-9;0;
173;-7;-3;6;0;2;-9;-3;-8;6;2;-7;0;-5;0;-1;-7;
174;6;8;4;8;8;2;0;7;4;5;3;1;8;-3;-5;-7;
175;-7;-5;-5;1;6;0;2;0;4;-5;-3;-9;6;8;-1;-9;
176;-5;1;0;7;-3;0;-7;2;2;6;-6;-2;0;-1;-7;0;
177;5;9;-1;-8;0;-8;0;-6;7;4;-7;3;0;1;2;-5;
178;-1;-3;-8;3;8;6;-5;-8;-7;4;1;-8;8;7;9;-3;
179;-9;7;0;2;1;3;5;0;0;-6;8;-8;-5;-5;4;-7;
180;7;-1;-2;-2;-7;5;8;6;5;-1;2;1;6;6;7;3;
181;2;2;0;-3;4;-7;5;7;4;-3;-8;-5;3;1;0;6;
182;2;4;5;1;-3;7;2;7;8;6;-7;7;-2;-4;1;0;
183;-6;0;2;5;1;-4;5;-5;-9;9;-1;-6;-6;1;7;0;
184;4;5;6;0;-2;-1;-6;5;9;0;6;6;4;1;2;-8;
185;-8;-8;-8;-5;5;2;7;6;-2;0;-2;5;1;2;-1;-7;
186;-8;-7;-2;-2;4;3;-9;7;3;3;-2;7;6;-8;-5;0;
187;7;7;-5;-1;0;0;-1;0;-7;-5;-2;9;-6;-1;3;-9;
188;7;-9;-7;-3;0;-6;7;3;9;3;0;-3;2;9;5;-4;
189;3;0;1;-6;-5;-1;-4;5;-6;6;0;7;-2;-8;7;8;
190;0;-8;4;0;-4;-1;5;-5;6;-5;8;2;-9;0;-3;-1;
191;-2;-4;7;-2;0;9;-1;-9;7;5;2;-3;-2;-6;7;-2;
192;5;8;-2;3;-2;-7;2;-5;-9;1;-5;1;-7;2;0;1;
193;8;6;-5;7;-7;-3;5;-1;0;0;3;0;-3;-1;-2;8;
194;7;-2;-8;5;5;0;-8;-2;-2;2;-4;1;7;5;0;1;
195;0;-6;3;0;-2;0;5;5;-6;-9;-2;-6;-2;-1;1;8;
196;8;8;6;1;2;-3;-8;-4;4;-5;1;5;-5;3;0;8;
197;1;-9;7;2;3;-5;-9;6;-9;-4;1;0;1;5;-9;-6;
198;8;-5;9;9;-9;7;7;-4;-5;-5;-3;9;8;-4;-9;1;
199;-3;0;9;6;0;0;0;3;7;8;-3;4;-2;7;0;8;
200;-6;4;5;9;2;1;4;5;9;4;0;1;-5;-6;9;3;
201;-2;7;-1;0;-6;5;3;5;-8;7;6;-2;3;-1;2;-1;
202;5;0;3;4;9;-1;0;5;-1;4;-5;3;-9;1;4;-9;
203;8;0;-1;-2;-5;-7;5;-7;-5;1;-7;-3;1;7;6;-9;
204;8;-1;6;-9;3;0;-8;2;9;-9;-3;7;-3;-2;0;6;
205;-2;3;-5;-4;-6;-1;6;-3;2;1;8;5;7;-4;5;3;
206;5;-6;-7;1;7;-8;5;9;4;9;2;0;-6;8;8;4;
207;-7;2;5;-9;0;-9;9;-1;-6;0;-4;1;4;-5;-4;-1;
208;-5;5;4;-2;8;7;0;-9;9;1;-1;0;-8;-6;-7;6;
209;9;-4;-4;5;8;1;8;-2;-5;4;0;4;9;-6;-1;0;
210;0;-5;7;-2;5;8;2;9;-9;0;3;7;-9;8;4;6;
211;8;0;8;0;-7;-4;0;9;3;-4;-5;3;1;-4;-6;3;
212;-6;-2;-6;-9;9;9;-7;0;3;1;-4;-5;-5;-9;4;2;
213;5;-4;4;5;-3;-2;-6;-8;3;-9;-1;-7;-8;-9;3;2;
214;-9;5;-8;-9;5;8;9;-1;0;9;1;0;3;5;7;4;
215;2;-2;5;5;8;0;-7;-6;-2;4;-2;-7;7;6;-7;-4;
216;0;-6;-8;3;9;6;8;8;-6;7;-5;9;-3;5;3;-3;
217;7;0;-2;6;3;4;-8;-4;0;5;-4;-9;-1;-8;-5;-8;
218;1;9;6;-3;0;6;-4;8;-3;-6;-7;-5;6;-1;9;-6;
219;-9;1;2;7;5;4;8;-5;7;0;-5;0;0;-3;9;4;
220;-8;3;-5;5;0;4;-1;0;2;-1;-3;0;8;7;-9;-9;
221;-7;-6;3;9;-1;3;4;5;0;-2;-8;-8;-4;-3;1;-7;
222;-7;5;8;-6;2;0;6;5;-3;0;0;0;-6;0;-4;3;
223;-7;-3;5;-7;-1;4;-1;1;4;-4;5;7;7;0;7;-2;
224;-9;8;-3;7;-3;-3;-6;-7;8;-3;0;-4;9;8;5;9;
225;4;9;-3;7;-9;-7;-2;-5;9;-1;-4;0;-5;0;-4;-8;
226;-6;-6;9;0;-3;-7;3;5;-3;-3;-3;1;-9;3;-6;2;
227;-8;4;-1;-7;9;0;-6;-8;-6;4;-4;6;6;-9;-3;-6;
228;-3;7;9;0;-3;-8;0;-6;-6;-4;7;7;-1;9;4;1;
229;-8;-2;-8;9;-9;5;1;7;-1;3;-5;-2;2;0;-7;0;
230;-8;-9;6;-6;-6;-6;3;2;9;4;7;5;-3;-4;-9;4;
231;0;-9;5;-8;9;7;0;0;0;-2;2;-3;-4;-3;-2;5;
232;0;5;-9;-7;9;0;-2;-9;-3;3;4;6;3;5;-1;-5;
233;8;3;-5;9;3;-4;-8;7;1;-7;-1;-1;1;6;-5;2;
234;-3;-9;5;-5;-2;4;7;2;-5;-4;2;-9;-5;6;-5;7;
235;-3;4;3;-2;-5;-4;-3;-1;8;-8;0;-4;-9;5;-7;0;
236;0;8;8;7;-6;5;1;1;-3;2;-4;7;-2;9;-7;0;
237;-5;-6;9;7;4;2;-3;-8;-4;5;-2;2;9;1;0;-4;
238;0;1;-1;0;4;0;-1;-7;-7;4;9;-8;2;-1;8;1;
239;-8;-3;-2;0;9;0;2;5;-7;-2;0;7;-6;-7;1;9;
240;-2;1;-2;-5;-4;1;5;-6;-1;1;6;8;-4;-2;8;5;
241;8;6;-6;-6;-4;-7;4;4;5;-6;-1;3;5;-8;6;-4;
242;-9;-1;1;-3;-5;-1;-4;3;-9;4;-9;0;2;3;2;-5;
243;3;3;7;-5;3;-2;7;-7;1;5;-2;8;4;-2;-8;1;
244;6;9;9;0;-8;-6;-2;-8;0;-9;3;5;-8;8;6;-9;
245;6;-9;3;-8;-5;-7;0;9;-8;-1;-7;1;-5;0;7;-3;
246;1;-4;0;-4;-6;5;-5;-3;6;4;4;1;1;5;0;-7;
247;0;-8;5;8;9;7;5;0;-4;7;-8;-4;1;5;-1;6;
248;-3;-8;3;5;-7;-8;-2;-2;8;-9;4;-5;-1;-1;5;2;
249;0;0;5;-2;9;0;-8;9;-9;0;-2;-2;7;0;6;-8;
250;4;-5;-5;5;0;0;3;1;-2;5;5;8;-8;-8;6;8;
251;-7;-5;0;0;0;4;-6;9;3;-9;-8;1;2;6;4;-2;
252;1;3;0;-1;-6;5;2;1;-7;-8;-2;4;-9;-2;-9;-2;
253;0;5;9;-3;0;3;8;-6;1;4;8;-2;7;-1;-7;0;
254;9;0;2;9;-9;-4;-6;2;-2;-7;2;7;0;7;3;5;
255;4;-7;1;4;-8;1;7;-7;0;0;4;-6;-6;-9;1;8;
256;0;9;8;-9;-6;-6;-2;9;2;0;-6;8;0;-4;1;-9;
257;4;-9;0;0;8;5;8;5;-9;-3;4;8;-4;6;3;6;
258;-5;4;6;-6;-5;-4;2;0;2;0;-6;-6;3;-4;5;9;
259;-1;-2;-1;0;-5;-5;-8;0;1;-2;6;-6;9;-8;-4;-5;
260;0;-2;-1;3;-9;6;-9;-2;0;2;8;-5;-2;1;4;-2;
261;4;8;-4;-6;-7;4;7;-9;0;8;2;8;-4;7;8;-7;
262;3;-3;-5;8;1;0;0;8;6;-5;-9;1;5;2;-6;8;
263;-8;-4;-8;-1;3;5;-6;-1;2;4;-6;-7;0;-5;-8;0;
264;2;-8;-5;-2;8;6;2;2;3;7;0;2;-1;6;-2;0;
265;8;7;8;2;-8;7;2;-5;-6;-8;-3;7;4;-7;4;2;
266;1;2;-2;7;9;8;-8;-1;-8;2;-2;8;-3;4;8;2;
267;4;8;-8;-8;5;-8;-1;-4;-5;-8;4;6;5;-2;6;3;
268;4;1;-8;9;-5;-2;1;-4;-8;4;1;4;-5;-1;9;-1;
269;7;1;-7;0;4;-2;3;4;4;-5;9;-2;-3;0;-7;9;
270;-9;6;6;5;-1;-6;-6;-3;-3;2;5;-4;-4;3;6;-9;
271;0;0;6;3;3;2;-1;-3;-8;3;1;-9;1;-3;-2;-4;
272;-7;8;-4;6;3;2;2;-3;8;-5;3;-8;-1;-9;9;6;
273;0;5;-8;2;7;-7;9;-2;-7;-8;-9;0;6;-8;-9;8;
274;9;-1;1;-4;9;-3;1;-9;7;-5;-9;6;7;-1;-2;-9;
275;5;-6;8;-7;-9;-6;-4;3;-3;-9;0;-3;6;1;-8;1;
276;0;-3;-9;4;-2;-5;5;-2;9;8;-8;2;-6;-3;3;-4;
277;6;-6;6;-9;-9;0;7;2;0;8;5;-8;2;3;-3;-8;
278;-8;2;4;-4;6;-7;-2;2;-4;-1;6;-1;-7;2;1;1;
279;8;0;-1;2;6;-6;9;8;-6;-8;-9;-6;-8;8;9;4;
280;-3;-1;-1;-4;-7;8;9;-5;-5;-5;5;-1;-8;7;7;-3;
281;-7;-8;8;3;3;0;6;-9;-9;-6;9;-2;8;0;4;-8;
282;-7;5;-1;-8;4;-4;-7;7;8;-1;7;4;-3;9;6;4;
283;1;9;1;0;5;-1;-5;-1;-2;0;2;-2;2;8;-8;-1;
284;-6;9;-4;9;9;-9;-1;7;1;-5;7;3;4;2;4;3;
285;-1;7;9;-6;-1;3;-5;-7;8;-2;0;8;1;1;-5;7;
286;-6;-4;7;-6;5;3;-6;-7;5;-5;2;4;1;3;0;8;
287;-1;7;3;-3;0;9;-9;7;5;5;-8;0;8;3;9;2;
288;8;2;-5;0;0;-6;0;1;2;0;-4;-4;1;2;-7;-2;
289;-8;-8;6;8;-5;7;-2;-1;-2;5;-1;4;-8;9;9;-4;
290;4;6;-9;2;2;2;-6;7;9;-4;3;5;9;9;-7;1;
291;0;0;-4;-1;2;-8;-1;-1;-1;-3;8;6;1;6;-4;-5;
292;0;-4;0;8;-2;-7;5;-3;-3;0;-6;0;-7;9;9;1;
293;9;6;-4;-2;7;2;-6;3;5;8;-2;-6;6;6;9;-9;
294;-2;5;-3;-6;6;-9;-6;-1;5;-8;1;-5;-4;9;1;2;
295;-7;-3;-9;7;-3;-5;9;-5;3;5;-4;6;-9;-1;9;-1;
296;1;2;5;-6;-9;0;-5;5;8;-5;6;9;-8;8;-5;-7;
297;2;-8;0;0;0;-4;-5;8;3;9;3;1;-4;-6;0;-1;
298;-9;8;5;0;0;2;-5;3;-8;-7;6;2;3;-6;-5;-1;
299;-1;-2;-4;-2;-6;-8;-1;-5;-7;1;-7;7;9;-9;5;-8;
300;0;-1;-6;-5;-1;-2;-8;3;3;6;-4;7;-2;-9;7;-1;
301;-7;8;0;-3;6;-1;-7;1;0;0;-7;5;7;-1;5;8;
302;-4;-9;-1;-6;-7;9;0;-7;3;-1;0;0;4;3;2;-7;
303;3;2;-7;8;-3;6;6;5;-7;-1;-8;-6;0;-4;7;-6;
304;9;-6;-8;6;-2;2;-1;9;-1;-3;2;0;-7;7;0;-1;
305;5;-2;9;3;-8;-1;-2;-6;0;1;5;-5;4;-4;-8;0;
306;8;-4;7;-6;7;-6;2;-7;-3;-2;3;7;-4;3;-6;9;
307;2;-9;-2;-6;6;6;3;-8;-9;7;7;-9;7;9;8;3;
308;-6;2;8;-1;-4;-7;5;0;8;-5;9;-5;9;4;6;7;
309;5;5;4;0;6;3;8;6;9;-1;6;7;1;9;-1;-7;
310;0;9;8;0;-5;4;7;-8;-5;0;7;0;0;-8;0;6;
311;-8;-7;5;-9;8;6;9;-9;-7;8;6;3;8;7;-2;-8;
312;0;6;2;-2;-8;-6;-7;-8;-8;-5;8;9;-6;-4;0;7;
313;-7;3;0;-8;-5;-4;3;6;-2;-3;-3;9;6;-8;8;6;
314;0;-8;-1;-1;2;8;-6;4;3;4;-3;5;9;-2;-9;7;
315;1;-3;-3;7;1;-5;5;2;6;-4;5;-4;-1;0;1;-1;
316;3;-2;6;-1;-8;-6;-6;7;7;2;8;9;4;8;4;1;
317;1;0;-4;8;-5;1;5;0;2;5;5;7;-6;3;-4;8;
318;-8;7;-3;0;0;-8;-5;9;1;-5;-2;-8;-9;8;5;1;
319;0;1;-2;-3;-7;9;7;0;0;-7;-7;0;-3;-1;-1;2;
320;4;-5;-6;-9;-5;-5;1;3;-8;6;2;1;-2;0;-3;-9;
321;6;-3;2;1;0;-4;4;3;-6;8;-5;7;8;-9;1;1;
322;-3;1;8;9;-2;0;-4;-6;-4;-5;-4;8;-7;-8;-2;-8;
323;6;-7;8;-8;8;-6;5;0;4;-7;0;-6;0;4;4;8;
324;2;-2;-8;7;-2;1;-9;-8;7;8;-1;-2;7;3;0;-8;
325;-2;-7;9;-8;-1;9;-8;-7;-7;-4;4;7;0;7;-3;5;
326;-6;7;3;0;-9;-4;2;1;8;-2;-1;9;0;5;-4;7;
327;7;-7;-6;4;-7;-6;-7;-3;3;-3;-8;0;1;1;-3;-9;
328;7;7;-8;8;-1;-2;0;-8;9;-8;-4;8;5;0;-7;-8;
