Numer macierzy;a_11;a_12;a_13;a_14; a_21;a_22;a_23;a_24;a_31;a_32;a_33;a_34;a_41;a_42;a_43;a_44;
069;-7;-3;0;-3;0;3;-1;-3;-4;6;4;-7;5;3;-6;8;
070;3;-9;1;-5;9;0;-2;0;4;-2;1;-7;1;-3;9;-7;
071;-5;1;-1;7;6;-2;3;1;-7;2;-4;0;-6;-4;-9;-9;
072;-1;8;7;-8;-5;2;3;9;8;0;-4;2;6;-1;1;4;
073;-1;9;-5;0;-7;2;-2;0;-4;-3;5;0;-3;5;2;4;
074;0;-8;6;7;0;9;2;0;-4;-9;-3;-5;8;-9;-1;2;
075;-2;9;-1;-6;3;0;0;-9;0;0;7;1;-7;-6;9;-3;
076;-6;1;6;-6;7;-7;-3;0;-7;0;8;2;-7;3;2;-8;
077;-3;-4;-8;0;6;3;2;-9;-2;-6;-8;7;-8;1;5;-7;
078;-6;0;-6;-2;6;-4;-9;-1;5;7;5;7;-4;-2;-8;4;
079;-1;-6;4;-8;-7;8;0;-9;-7;4;7;4;0;1;-2;-4;
080;-6;8;5;8;9;7;4;-3;2;1;5;4;2;4;-2;-8;
081;-2;7;8;3;7;-4;0;9;9;-5;3;-6;-2;-1;-5;6;
082;2;6;2;9;6;4;-1;4;-6;5;-6;0;-1;-4;-9;2;
083;1;0;-9;2;6;-7;4;9;6;-3;3;-9;-5;9;-6;-1;
084;9;-7;-4;-1;9;-3;-5;-6;-3;-2;6;9;2;1;-1;-4;
085;6;-7;-5;9;-8;-5;5;0;-3;-9;7;8;1;2;1;-1;
086;-6;3;2;-9;9;0;-8;-8;-7;-3;-4;-6;-6;-3;-3;5;
087;3;-1;6;8;1;5;9;0;-7;-6;-4;-7;2;-8;1;4;
088;-6;-7;2;6;-7;3;-5;0;-7;-2;-9;-6;5;6;9;-5;
089;-7;-4;9;5;9;-5;8;1;-4;-7;-2;1;7;-5;-2;-1;
090;-8;-2;5;-9;-4;-9;-9;-2;-8;0;0;3;0;-8;1;4;
091;5;8;-3;-5;1;2;-5;2;0;3;0;-5;9;0;-7;1;
092;-6;0;8;-3;1;-6;4;-3;6;0;4;-3;2;7;-4;-1;
093;-2;7;8;-3;9;-4;-6;2;1;-8;6;-4;-9;-9;-9;5;
094;7;2;-1;-1;0;-2;4;5;-7;-5;-2;0;-2;-9;1;7;
095;6;2;1;3;-4;8;-3;-2;4;-4;0;4;7;2;-2;3;
096;-8;-3;-2;9;2;-3;-2;6;-7;-7;1;0;2;3;5;-1;
097;2;-6;2;1;8;1;0;-2;4;-3;-9;8;-5;4;-9;-4;
098;3;-3;0;-3;-8;8;1;7;-3;-9;0;-8;-1;-6;2;-4;
099;-7;0;-9;-1;-1;-1;1;1;-8;7;3;-2;5;4;5;8;
100;-1;-6;-3;-6;-9;-3;-7;7;1;2;-8;8;-3;-5;4;4;
101;-6;-9;0;8;-5;5;9;0;-2;0;0;2;6;-8;-3;-5;
102;-6;-3;0;-4;6;-6;1;-7;-7;9;-4;5;-7;-7;-4;3;
103;-6;-4;-5;-8;1;1;9;-8;-1;2;-8;0;-1;5;-7;6;
104;-5;-8;0;-1;-1;4;-9;-6;8;-3;-5;4;6;0;7;1;
105;3;-7;3;5;0;7;-3;5;-3;-8;8;-4;1;-2;1;9;
106;-4;-3;-2;3;4;-5;-3;-4;-8;-6;-2;0;-9;2;7;-6;
107;-3;-1;1;-4;3;-8;5;-2;-4;9;6;7;6;6;7;-6;
108;-9;0;-3;-5;7;7;-7;2;5;1;2;9;-9;0;-6;-9;
109;2;-9;-8;0;-2;-4;0;-8;-9;8;-3;4;-8;4;0;5;
110;-6;1;-4;2;2;-6;6;9;-5;9;4;-4;-6;1;9;0;
111;-5;3;8;3;4;-3;-1;-4;8;8;2;5;0;9;-5;-3;
112;-7;2;-3;-9;0;8;0;6;-3;-3;-8;0;7;5;3;2;
113;-7;6;-3;0;6;3;-8;4;6;9;0;9;7;-6;0;3;
114;7;5;3;8;6;-6;5;2;0;-3;-6;0;-3;-5;6;-5;
115;4;0;-5;4;-9;-2;4;0;-1;1;7;-9;1;2;-9;0;
116;1;0;-5;-3;-4;9;-6;9;4;3;6;0;-9;2;-7;-3;
117;-7;-6;1;-2;3;-3;9;2;-8;5;-3;5;6;3;6;2;
118;0;7;8;-3;-7;3;-3;5;-2;-5;1;2;3;1;-2;-8;
119;0;4;1;-5;-9;-4;-5;-9;8;-2;5;-8;0;5;-8;-2;
120;9;7;1;8;-5;-6;0;4;5;-3;-6;-7;-2;-2;-9;-1;
121;0;8;4;-6;1;-5;-4;-5;1;7;-8;-1;2;0;6;3;
122;5;-7;-8;-4;-5;9;-1;-8;6;-2;9;0;-7;5;0;9;
123;-4;6;-5;-1;-6;6;-5;-5;2;7;-2;0;-4;8;0;2;
124;0;-5;3;7;-4;5;6;6;1;0;2;8;2;5;7;-9;
125;-4;5;-1;-7;-2;-3;5;8;7;2;-9;-5;1;7;7;8;
126;4;0;-3;6;2;0;3;-7;-8;0;7;1;-2;-8;-8;0;
127;-4;-9;-9;5;1;2;-7;5;-7;-3;4;5;9;1;-3;1;
128;4;-5;0;-3;-3;0;6;-3;-7;3;1;2;6;3;-9;-6;
129;0;0;2;7;7;-2;5;-8;3;7;-4;-5;-9;-3;9;6;
130;6;6;-5;2;-1;-9;-1;8;1;6;1;5;5;0;4;-2;
131;0;-6;3;0;6;-6;6;4;9;-9;7;1;-3;4;-5;9;
132;0;1;-4;0;4;-7;4;0;-5;-8;8;8;2;3;-4;5;
133;6;-5;9;-1;-8;-8;8;-1;2;0;6;-1;-4;0;-8;0;
134;-8;0;4;7;2;1;8;-8;-9;-8;-6;1;3;0;6;-6;
135;1;9;-8;0;-3;4;3;0;1;-2;6;6;1;7;4;-9;
136;-7;5;-5;3;8;0;-3;3;-2;-2;9;5;6;-8;-9;-7;
137;2;2;-2;2;7;5;6;4;-9;-9;2;-1;-3;-6;4;0;
138;2;2;0;-3;-8;-3;-7;-2;7;4;6;6;-2;-8;3;-3;
139;7;0;4;0;-4;-1;2;-8;8;-9;6;0;2;-9;-8;-1;
140;4;0;-3;4;9;-4;6;9;0;-4;-9;1;4;5;2;-2;
141;7;-4;1;3;5;-8;-2;2;7;-1;-8;4;-2;1;3;-9;
142;-6;-7;-3;-4;-1;8;-2;6;9;1;-9;0;9;5;-2;-4;
143;-6;3;1;2;-1;2;7;5;4;7;3;-2;-1;-1;5;6;
144;1;7;0;7;6;4;-6;4;5;0;-3;5;4;-6;1;-2;
145;0;2;7;-9;6;2;0;-1;1;-3;8;8;8;7;-5;-6;
146;-9;-5;5;5;-1;-2;5;8;0;-6;-9;-2;1;0;1;-1;
147;8;9;-1;0;-5;-1;-9;7;3;4;-3;8;5;-2;4;5;
148;8;9;5;-6;-3;-5;-6;4;0;9;-8;6;3;0;5;-8;
149;1;1;0;-2;9;3;-2;-9;-6;2;9;-2;8;1;-7;3;
150;1;-9;6;8;2;9;0;-2;-3;-7;-3;-9;-5;-3;9;-4;
151;3;0;-3;8;9;4;2;9;-9;-8;1;0;-2;-2;1;0;
152;-2;9;-9;4;1;-2;9;-5;0;-6;-9;3;7;8;2;-1;
153;9;-1;-2;-8;-8;-4;2;0;-5;6;6;5;-8;5;7;1;
154;-1;-2;6;-8;-4;5;-9;6;-3;1;4;1;8;5;-3;5;
155;9;0;-9;9;3;-5;-9;8;8;5;-2;4;-8;-2;-6;2;
156;-5;8;-3;-6;1;0;8;3;9;-1;-1;-3;3;8;8;-3;
157;4;-5;-2;9;-4;-1;-2;1;-4;3;-4;5;6;8;-3;-2;
158;-8;7;-6;8;0;-4;-6;-5;5;-6;0;7;-6;-4;2;-5;
159;-6;0;9;8;1;-9;-3;0;2;4;3;0;0;1;-6;2;
160;4;-1;-7;-5;-6;-4;-6;5;-1;0;-9;-6;-7;-1;4;-4;
161;-3;7;1;-9;-8;-9;-6;-9;-5;0;9;-2;9;1;-4;-6;
162;2;-5;7;-1;2;-1;-4;6;-2;9;6;4;-7;1;4;-5;
163;4;3;-3;-8;-2;2;-8;2;-7;-1;-9;7;-4;0;-9;-1;
164;0;8;2;-4;-7;-8;-7;-6;2;1;1;0;7;-8;-6;6;
165;8;-7;0;2;-3;2;7;-9;-4;-5;-7;-3;-2;2;-7;-6;
166;2;-9;-9;-2;-1;-1;-5;4;-9;7;-7;2;6;-6;6;7;
167;0;2;2;2;1;-8;6;9;-7;4;-5;2;8;-7;-4;-1;
168;1;-2;-8;-7;-6;-8;-2;-3;4;-1;0;4;0;7;-3;0;
169;7;0;0;-1;0;-7;7;7;5;-4;2;-8;-3;3;1;-1;
170;-7;-2;-2;4;8;0;-3;-7;0;-8;-8;0;1;9;-7;1;
171;-6;-8;-7;-5;7;-1;-9;-8;5;1;7;6;-8;3;9;-2;
172;-7;6;-7;9;-5;-9;-6;-2;-3;-7;3;-7;-2;-8;2;7;
173;-9;6;0;0;1;-6;-1;-1;-3;5;2;5;9;-3;3;3;
174;-6;6;-8;1;-7;1;-1;-9;0;-9;-6;6;9;0;4;9;
175;0;5;7;-9;4;8;3;5;-7;8;-1;6;2;9;0;-6;
176;8;-3;-7;2;6;5;1;9;-2;8;-5;8;0;-3;-2;-8;
177;-4;9;1;-4;8;6;0;-5;0;-6;1;-2;6;1;-1;-3;
178;9;-3;6;6;8;-1;-1;-8;-3;-8;-6;-8;6;-8;7;1;
179;-1;-4;5;9;-2;3;-8;-6;-7;4;1;1;-5;-3;7;3;
180;-1;3;-1;0;0;-2;0;1;-7;0;-1;-4;0;0;-1;-5;
181;1;0;4;4;-3;-2;-7;6;3;-3;4;-9;-2;9;4;-3;
182;-6;-5;8;3;3;-3;-8;9;-2;-3;3;-6;-9;-4;-2;0;
183;-9;-9;9;9;4;-1;9;-7;8;6;4;-9;-4;-6;8;6;
184;-8;1;8;8;0;-4;7;-3;0;0;8;-5;0;9;7;-8;
185;9;3;0;6;-8;-8;7;-1;5;-6;8;-4;2;-5;0;4;
186;-5;6;-4;7;-5;3;3;8;-3;9;3;7;-5;7;8;5;
187;2;-1;-1;1;-1;6;-8;4;-6;0;-5;-1;7;7;1;-5;
188;-6;8;9;-7;7;6;-4;2;-7;7;0;0;7;-1;-8;-9;
189;-8;0;9;2;-3;9;2;-5;9;0;8;-7;4;-9;-6;-6;
190;5;8;3;9;5;6;-1;3;0;-6;2;-2;1;8;3;9;
191;1;3;2;0;6;-4;9;-4;4;6;0;-3;0;-8;3;1;
192;6;-7;-5;4;-2;-3;-5;3;-2;-8;4;-6;-7;5;1;9;
193;7;-3;-1;-7;-2;0;-5;5;-2;3;-9;-4;5;-3;1;-2;
194;-7;-2;-8;5;4;-7;3;-8;-7;0;4;8;4;-6;-5;3;
195;-5;-7;-1;9;-9;0;5;3;7;-9;4;-5;1;6;3;-6;
196;-7;1;6;0;-9;-1;3;4;9;0;-4;-3;-6;2;-6;9;
197;-5;5;7;4;6;7;9;7;6;-3;-7;-6;-2;-4;-3;1;
198;-9;2;-8;7;5;0;-4;-1;8;9;6;-3;0;-1;1;-7;
199;2;-7;-9;-2;3;8;8;7;9;-8;-2;-6;-5;4;9;0;
200;8;1;3;9;7;-3;-9;0;-3;0;-7;0;3;-1;0;0;
201;2;7;8;-7;-6;-3;6;6;-7;7;-7;0;0;5;-9;6;
202;0;0;4;0;0;0;5;6;7;0;4;-8;6;3;1;-3;
203;3;3;-8;-3;0;4;1;-1;-5;9;-1;4;0;9;8;6;
204;-7;0;6;-7;0;-5;-9;-7;-7;6;-8;5;3;-2;0;3;
205;-7;-3;4;9;-5;-4;1;0;-9;3;-6;-6;8;3;-9;8;
206;-1;8;7;7;9;-3;1;-1;0;-1;-2;0;9;-3;-2;-2;
207;-6;9;-6;-5;-1;-2;9;3;8;1;6;8;-2;3;9;3;
208;6;0;6;5;-9;-3;-4;2;-6;6;-2;6;-3;5;-6;-1;
209;-8;-5;6;-5;4;-5;-7;4;-5;-8;-8;-2;-1;0;-9;7;
210;-9;9;7;2;6;-4;-4;2;-9;9;-6;8;6;9;-3;-5;
211;1;7;6;-2;-9;7;3;9;-3;1;-2;-6;-8;-6;-1;4;
212;2;-4;-4;7;-6;0;8;0;-5;-7;-5;-3;1;9;5;-3;
213;-6;5;4;-7;-5;-1;5;-5;0;-9;-9;7;7;-5;8;-4;
214;5;5;-4;9;-1;-6;7;-5;0;1;2;1;-3;-2;0;-4;
215;-7;0;7;8;-4;4;-6;-4;5;5;-5;7;5;6;0;-9;
216;-5;-5;9;8;3;1;-4;-8;-7;5;-3;4;-2;-6;-6;1;
217;0;-6;8;0;0;7;0;-8;-9;4;-5;0;3;-8;5;-2;
218;-8;9;0;0;7;-6;4;-5;-7;-5;5;7;-8;2;-3;9;
219;-3;0;-1;-6;9;-9;-3;-4;-7;2;0;0;1;4;-5;0;
220;-5;5;3;1;-1;3;-4;-3;-7;-9;0;-8;4;-5;5;6;
221;-9;0;-1;6;1;-7;4;0;-5;0;1;8;-4;-9;-6;-1;
222;-7;3;-4;-1;-6;-7;-6;0;-4;-9;-1;-6;7;-9;-9;-2;
223;9;9;-7;0;6;-6;-5;7;-3;0;3;4;0;-1;4;7;
224;0;5;5;0;3;-8;-3;-9;9;7;-4;-3;4;-5;-2;9;
225;2;0;-1;1;-9;-6;1;7;4;5;-3;-2;9;8;0;2;
226;1;-9;-8;3;8;6;9;5;-5;-9;6;-5;7;3;6;-4;
227;4;9;-6;-4;-6;0;-7;8;0;4;0;7;1;5;-6;-3;
228;1;0;-7;-8;-9;-4;2;-4;-8;5;-8;-9;-8;-7;-4;-2;
229;-8;7;9;7;6;0;-2;6;8;-6;6;9;-3;5;5;-7;
230;0;9;-1;3;-6;7;3;-6;-5;4;4;4;4;-3;3;6;
231;7;-4;-9;1;-1;-5;0;2;9;-3;-6;8;1;7;-7;7;
232;-5;0;0;-9;-2;-3;5;-4;7;0;0;3;-3;0;0;6;
233;8;-5;7;9;-5;-4;-3;-1;4;1;7;-8;-4;0;0;-7;
234;3;-7;5;1;3;4;-4;0;-8;0;-2;0;6;0;-7;9;
235;8;-6;6;-5;-3;8;-8;8;6;-5;7;5;-5;7;7;2;
236;4;9;3;-7;-4;2;-6;-4;2;1;3;4;-7;5;7;1;
237;-9;6;-4;-9;-6;-2;-5;0;4;-6;-9;-8;-9;-3;2;-2;
238;0;5;0;4;8;-4;2;3;8;-5;-5;-4;0;-3;-6;4;
239;6;6;8;0;-4;-2;4;0;6;6;-8;-8;1;5;-3;9;
240;5;-9;-7;5;7;-6;6;-1;6;-5;-5;-2;5;2;3;0;
241;3;-2;1;2;2;9;-1;9;-4;0;0;-8;-3;3;-9;5;
242;-8;-5;-6;-3;-5;0;3;-1;0;-7;9;3;2;2;-9;3;
243;-9;-8;-5;-9;-5;-3;2;5;-2;-4;4;4;6;0;3;7;
244;9;2;3;7;-2;8;0;1;-4;9;0;4;-4;9;7;2;
245;-7;-5;-8;-1;4;0;-5;4;-7;9;-4;-5;5;-1;9;5;
246;-9;9;4;4;-6;-7;7;0;-7;2;-9;6;-8;-8;4;-7;
247;8;4;-8;6;-9;-6;3;-8;-8;7;-2;-3;6;3;5;0;
248;-4;0;-1;-6;0;5;9;-1;0;1;3;0;2;-8;7;0;
249;-1;9;7;9;5;0;0;1;8;2;-7;0;0;6;1;5;
250;-1;0;-5;-9;1;1;0;7;5;9;1;2;6;0;-8;-7;
251;-2;-6;8;-5;-7;-5;-2;7;-9;1;7;3;8;-3;-8;-8;
252;0;-7;-2;8;-5;0;8;-5;-8;7;-1;-8;-5;8;0;-5;
253;-4;5;-8;2;-5;4;9;6;-1;5;4;0;-6;8;-2;-6;
254;-3;-1;-9;2;3;7;-3;-6;7;-5;-9;-9;-3;9;0;4;
255;0;-7;-5;9;-1;5;-1;7;0;5;4;3;0;0;0;2;
256;6;5;7;4;7;0;9;2;-2;-6;0;7;0;0;-6;7;
257;6;-6;1;1;8;-7;-4;-5;0;7;2;-5;-9;-8;-1;-8;
258;-5;-3;-7;7;-3;-9;0;6;7;-7;-1;-7;5;3;8;9;
259;1;-9;-9;3;3;2;3;5;-4;6;-9;-2;7;5;8;3;
260;1;-5;-5;-9;-9;8;-5;6;8;-5;-3;-6;-3;2;0;8;
261;-6;5;6;2;-4;-4;9;-5;0;-3;6;2;7;-5;-5;-3;
262;-6;0;9;-8;4;-2;4;2;-1;-2;1;3;0;3;-9;-3;
263;-5;4;1;-9;-4;0;-2;6;6;1;7;-8;6;7;0;-2;
264;5;1;-8;-6;-1;0;0;-4;-8;-1;-8;-2;-2;-5;3;8;
265;4;-3;5;7;6;0;7;-2;5;3;-1;-1;-5;0;2;3;
266;5;-3;5;7;7;2;8;-9;2;-8;-4;7;-3;9;2;8;
267;-1;6;-2;-1;-6;-4;0;8;-1;-7;5;-9;5;-6;-5;1;
268;7;5;6;-9;7;-1;6;-3;8;-2;0;-5;-4;-9;-1;1;
269;-8;3;8;0;4;9;0;2;9;-3;2;0;-1;1;2;-7;
270;2;-5;7;0;-4;2;-5;-5;-5;3;-8;7;-2;1;-5;5;
271;-8;6;2;-4;2;0;0;5;-1;3;-7;6;0;-2;0;1;
272;6;9;9;-2;8;5;-7;-7;-2;-5;4;-4;-4;4;3;-5;
273;7;8;6;5;2;7;-3;0;-7;1;-6;-8;-2;0;-1;-8;
274;-6;9;5;9;-6;-9;7;5;-3;-3;6;-2;-3;9;-6;5;
275;5;-6;2;0;-2;1;-6;-4;2;5;-9;5;8;6;-5;-4;
276;2;5;9;8;-5;-8;-5;4;-4;7;-5;-7;-1;0;-8;-3;
277;2;0;-8;-6;1;-8;8;4;-3;4;8;4;-4;5;7;7;
278;-7;-7;9;9;6;7;9;-5;2;7;-5;0;4;2;-3;-9;
279;-3;0;-2;3;0;4;0;-2;9;0;-7;-7;-6;-6;-5;9;
280;-4;7;-5;2;1;-4;3;0;-8;7;0;3;0;6;2;-6;
281;-2;2;6;-5;2;8;8;9;-1;-9;3;-6;4;-7;-9;-4;
282;-2;1;0;-2;6;0;3;3;5;1;9;-1;-1;1;4;-8;
283;9;0;3;8;-5;-2;6;4;5;-7;6;-9;1;3;1;8;
284;-1;6;8;-6;-7;-9;-5;0;-9;0;-3;0;-9;-2;-4;-5;
285;-5;5;0;-8;8;1;5;-2;-6;-5;7;-3;0;6;5;-1;
286;-3;-3;-8;-3;-6;5;-1;-3;8;4;-6;2;0;-6;-7;4;
287;4;-8;-6;-7;1;1;-7;-6;-4;-3;2;0;-8;-6;0;-3;
288;3;5;-9;5;5;-7;-4;-2;-1;6;1;8;4;0;2;0;
289;-1;-3;1;-8;0;-2;-4;-9;1;7;6;-3;-7;2;3;-9;
290;-8;7;-5;5;-9;5;-8;-2;3;-2;-9;3;0;6;0;8;
291;-6;-6;0;-5;0;6;5;6;1;-5;0;-9;-6;-7;-9;5;
292;8;-7;9;-1;-7;3;-2;0;8;1;9;-4;-2;-7;-5;-4;
293;0;7;-9;-7;0;7;-8;6;1;5;-5;6;-2;-5;-1;0;
294;-6;-4;0;-2;8;6;-6;-6;-5;3;-5;-2;-6;-1;1;0;
295;-6;-7;6;5;-2;2;4;-9;-1;0;-6;5;1;-4;-7;5;
296;-6;-3;-7;0;-4;2;3;2;-5;-2;-3;8;0;-5;-9;7;
297;0;0;-4;-1;9;0;-8;8;-1;-5;9;0;-3;-4;-7;-4;
298;7;8;4;8;2;-2;-9;2;0;4;0;8;5;1;9;2;
299;-2;-4;6;0;-9;-3;6;1;-7;-7;-5;6;0;7;2;-3;
300;7;-7;5;4;-9;0;0;-3;5;-8;7;8;-4;3;4;-1;
301;1;6;-8;2;1;-6;9;-3;-5;5;-5;-3;6;9;-8;-2;
302;0;0;-8;6;-5;0;-8;6;0;-4;8;9;-4;7;0;-5;
303;3;8;-9;5;5;-5;-6;-8;-4;1;3;-2;9;7;-2;-2;
304;-9;0;-3;7;-3;0;-6;0;4;-5;-8;-3;2;2;-7;-7;
305;3;5;-1;-4;5;9;3;7;-6;-1;7;-5;8;-1;-4;-7;
306;-4;2;2;0;8;2;-8;-3;-1;8;-6;5;0;8;4;-1;
307;9;2;7;-4;-9;-2;5;7;-6;2;-6;9;5;3;-6;-2;
308;3;-5;-1;3;8;-8;3;9;5;-1;1;-2;1;0;-6;-5;
309;4;0;3;2;-5;-6;-3;-5;0;-3;2;3;6;-9;2;8;
310;-9;8;-7;-4;3;5;-2;0;-6;5;8;-3;0;-4;-8;0;
311;0;9;-7;-9;3;-4;-7;5;0;4;1;-5;-2;-2;5;0;
312;4;-4;-2;-3;3;-2;2;-1;-7;-8;3;3;-9;6;3;0;
313;-3;5;-1;5;-6;-3;-1;4;-7;-3;8;7;8;-1;-1;4;
314;3;4;0;0;9;-1;-8;-9;-5;-6;-1;2;4;2;-6;-9;
315;9;8;-5;4;7;-3;0;3;-8;0;-7;-4;-3;4;-3;0;
316;6;2;-1;3;6;-4;2;0;0;3;-2;9;0;3;-9;2;
317;2;2;-4;2;1;0;-9;-6;7;9;-1;2;-2;5;8;-1;
318;0;4;-9;7;8;6;8;-7;-5;5;-1;8;3;5;-6;3;
319;6;3;2;4;2;9;4;8;9;6;-7;-4;0;8;-9;3;
320;-8;-4;0;8;0;-3;3;6;6;-7;-5;5;7;-2;2;7;
321;9;4;-6;-5;6;4;0;-5;0;4;9;7;2;0;2;-1;
322;5;8;8;0;-7;8;-1;-2;-8;4;7;-5;-8;9;-3;0;
323;-3;1;0;0;-8;-1;2;-2;4;-1;3;-5;-3;-4;2;9;
324;7;0;-9;9;-5;8;7;1;6;0;3;2;-1;2;-3;5;
325;-4;0;-9;4;3;5;4;-3;-7;9;-2;-3;8;-7;-3;4;
326;-9;6;-7;9;8;7;6;6;5;2;-7;2;0;5;8;0;
327;8;5;8;1;-6;0;1;-4;-3;-5;3;-6;2;2;-2;9;
328;-6;-1;-8;6;2;0;4;3;9;3;6;0;0;-4;2;7;
